District or State,Administrative Unit,Population,Total Hindu,Total Muslim,Total Sikh,Hindu Percentage,Muslim Percentage,Sikh Percentage,Alternate_Names
Dhenkanal,State,324212.0,278466.0,875.0,0.0,85.89,0.27,0.0,
Panjab (State agencies),State,5503554.0,0.0,0.0,0.0,0.0,0.0,0.0,
Dujana,State,30666.0,23727.0,6939.0,0.0,77.37,22.63,0.0,
Pataudi,State,21520.0,17728.0,3655.0,0.0,82.38,16.98,0.0,
Loharu,State,27892.0,23923.0,3960.0,0.0,85.77,14.2,0.0,
Mandi,State,232593.0,227457.0,4328.0,0.0,97.79,1.86,0.0,
Suket,State,71092.0,69974.0,884.0,0.0,98.43,1.24,0.0,
Kapurthala,State,378380.0,61546.0,213754.0,0.0,16.27,56.49,0.0,
Malerkotla,State,88109.0,23479.0,33881.0,0.0,26.65,38.45,0.0,
Faridkot,State,199283.0,21751.0,61352.0,0.0,10.91,30.79,0.0,
Chamba,State,168908.0,155480.0,12318.0,0.0,92.05,7.29,0.0,
Patiala,State,1936259.0,597488.0,436539.0,0.0,30.86,22.55,0.0,
Jind,State,361812.0,268349.0,50972.0,0.0,74.17,14.09,0.0,
Nabha,State,340044.0,146430.0,70373.0,0.0,43.06,20.7,0.0,
Bahawalpur,State,1341209.0,169002.0,1098814.0,0.0,12.6,81.93,0.0,
Khairpur,State,305787.0,49604.0,253690.0,0.0,16.22,82.96,0.0,
Punjab Hill,State,1090644.0,1025291.0,40678.0,0.0,94.01,3.73,0.0,
Kalsia,State,67393.0,29866.0,25049.0,0.0,44.32,37.17,0.0,
Sirmoor,State,156026.0,146199.0,7374.0,0.0,93.7,4.73,0.0,
Tehri Garhwal,State,397369.0,395340.0,1945.0,0.0,99.49,0.49,0.0,
Other States,State,359520.0,345520.0,10812.0,0.0,96.11,3.01,0.0,
Rajputana,State,13670208.0,10317805.0,1297841.0,0.0,75.48,9.49,0.0,
Abu,State,4680.0,2618.0,802.0,0.0,55.94,17.14,0.0,
Alwar,State,823055.0,539369.0,220334.0,0.0,65.53,26.77,0.0,
Banswara,State,258760.0,74522.0,7333.0,0.0,28.8,2.83,0.0,
Bharatpur,State,575625.0,449081.0,110296.0,0.0,78.02,19.16,0.0,
Bikaner,State,1292938.0,992601.0,185323.0,0.0,76.77,14.33,0.0,
Bundi,State,249374.0,186003.0,11776.0,0.0,74.59,4.72,0.0,
Danta,State,31110.0,16288.0,2968.0,0.0,52.36,9.54,0.0,
Dholpur,State,286901.0,253444.0,18509.0,0.0,88.34,6.45,0.0,
Dungarpur,State,274282.0,102562.0,9068.0,0.0,37.39,3.31,0.0,
Jaipur,State,3040876.0,2463801.0,249215.0,0.0,81.02,8.2,0.0,
Jaisalmer,State,93246.0,62744.0,27456.0,0.0,67.29,29.44,0.0,
Jhalawar,State,122299.0,105438.0,9600.0,0.0,86.21,7.85,0.0,
Karauli,State,152413.0,109214.0,7800.0,0.0,71.66,5.12,0.0,
Kishengarh,State,104127.0,91707.0,7585.0,0.0,88.07,7.28,0.0,
Kotah,State,777398.0,613719.0,53481.0,0.0,78.95,6.88,0.0,
Kushalgarh Chiefship,State,41153.0,4784.0,898.0,0.0,11.62,2.18,0.0,
Lawa (Estate),State,2808.0,2443.0,100.0,0.0,87.0,3.56,0.0,
Marwar,State,2555904.0,2124601.0,214151.0,0.0,83.13,8.38,0.0,
Mewar,State,1926698.0,1334445.0,63849.0,0.0,69.26,3.31,0.0,
Palanpur,State,315855.0,255843.0,31151.0,0.0,81.0,9.86,0.0,
Shahpura,State,61173.0,52154.0,2914.0,0.0,85.26,4.76,0.0,
Sirohi,State,233879.0,164913.0,7113.0,0.0,70.51,3.04,0.0,
Tonk,State,353687.0,272203.0,51616.0,0.0,76.96,14.59,0.0,
Sikkim,State,121520.0,45888.0,83.0,0.0,37.76,0.07,0.0,
Travancore,State,6070018.0,3542399.0,434150.0,0.0,58.36,7.15,0.0,
U. P.,State,928470.0,647169.0,273625.0,0.0,69.7,29.47,0.0,
Rampur,State,477042.0,237911.0,235458.0,0.0,49.87,49.36,0.0,
Benares,State,451428.0,409258.0,38167.0,0.0,90.66,8.45,0.0,Varanasi
Western India,State,4904156.0,4069175.0,600440.0,0.0,82.97,12.24,0.0,
Bhavnagar,State,618429.0,541806.0,50353.0,0.0,87.61,8.14,0.0,
Dhrangadhra,State,94417.0,85668.0,5057.0,0.0,90.73,5.36,0.0,
Dhrol,State,33617.0,28913.0,3937.0,0.0,86.01,11.71,0.0,
Gondal,State,244514.0,196691.0,39900.0,0.0,80.44,16.32,0.0,
Idar,State,307798.0,292348.0,11085.0,0.0,94.98,3.6,0.0,
Jafrabad,State,13837.0,11855.0,1982.0,0.0,85.68,14.32,0.0,
Porbandar,State,146648.0,131212.0,14035.0,0.0,89.47,9.57,0.0,
Radhanpur,State,67691.0,53663.0,8522.0,0.0,79.28,12.59,0.0,
Palitana,State,76432.0,65931.0,5680.0,0.0,86.26,7.43,0.0,
Nawanagar,State,504006.0,410471.0,66655.0,0.0,81.44,13.23,0.0,
Limbdi,State,44024.0,37431.0,4543.0,0.0,85.02,10.32,0.0,
Vijayanagar,State,13942.0,4680.0,325.0,0.0,33.57,2.33,0.0,
Morvi,State,141761.0,122170.0,12956.0,0.0,86.18,9.14,0.0,
Rajkot,State,102951.0,85260.0,10828.0,0.0,82.82,10.52,0.0,
Wadhwan,State,50915.0,41952.0,3054.0,0.0,82.4,6.0,0.0,
Wankaner,State,54965.0,36420.0,15813.0,0.0,66.26,28.77,0.0,
Cutch,State,500800.0,317791.0,116998.0,0.0,63.46,23.36,0.0,
Junagadh,State,670719.0,534321.0,127814.0,0.0,79.66,19.06,0.0,
Western Kathiawar Agency,State,435858.0,365006.0,61718.0,0.0,83.74,14.16,0.0,
Eastern Kathiawar Agency,State,323019.0,284510.0,21701.0,0.0,88.08,6.72,0.0,
Sabar Kantha Agency,State,457813.0,419076.0,17484.0,0.0,91.54,3.82,0.0,
Talchar,State,86432.0,81354.0,282.0,0.0,94.12,0.33,0.0,
Hindol,State,58505.0,54808.0,116.0,0.0,93.68,0.2,0.0,
Narsinghpur,State,48448.0,46130.0,152.0,0.0,95.22,0.31,0.0,
Baramba,State,52924.0,47602.0,235.0,0.0,89.94,0.44,0.0,
Tigiria,State,26331.0,23761.0,598.0,0.0,90.24,2.27,0.0,
Khandpara,State,87341.0,83558.0,100.0,0.0,95.67,0.11,0.0,
Nayagarh,State,161409.0,152703.0,828.0,0.0,94.61,0.51,0.0,
Ranpur,State,51366.0,48038.0,441.0,0.0,93.52,0.86,0.0,
Daspalla,State,53833.0,43084.0,59.0,0.0,80.03,0.11,0.0,
Baudh,State,146175.0,123370.0,174.0,0.0,84.4,0.12,0.0,
Bamra,State,178277.0,103801.0,290.0,0.0,58.22,0.16,0.0,
Rairakhol,State,38185.0,29306.0,40.0,0.0,76.75,0.1,0.0,
Sonepur,State,248973.0,234560.0,575.0,0.0,94.21,0.23,0.0,
Bonai,State,92537.0,35590.0,191.0,0.0,38.46,0.21,0.0,
Gangpur,State,398171.0,95315.0,4433.0,0.0,23.94,1.11,0.0,
Seraikela,State,154844.0,72469.0,1873.0,0.0,46.8,1.21,0.0,
Kharsawan,State,50580.0,20191.0,1013.0,0.0,39.92,2.0,0.0,
