District or State,Administrative Unit,Population,Total Hindu,Total Muslim,Total Sikh,Hindu Percentage,Muslim Percentage,Sikh Percentage,Alternate_Names
Sitamau,State,33461.0,29699.0,1867.0,0.0,88.76,5.58,0.0,
Rest of Central India,State,295814.0,226633.0,13054.0,0.0,76.61,4.41,0.0,
Khaniadhana (Gwalior Residency),State,20124.0,19016.0,571.0,0.0,94.49,2.84,0.0,
Chhattisgarh,State,4050000.0,2188542.0,28773.0,0.0,54.04,0.71,0.0,
Bastar,State,633858.0,149900.0,2032.0,0.0,23.65,0.32,0.0,
Changbhakar,State,21266.0,6608.0,53.0,0.0,31.07,0.25,0.0,
Jashpur,State,223612.0,57771.0,1982.0,0.0,25.84,0.89,0.0,
Kalahandi,State,597940.0,407449.0,735.0,0.0,68.14,0.12,0.0,
Kanker,State,149471.0,51098.0,760.0,0.0,34.19,0.51,0.0,
Kawardha,State,77284.0,62462.0,1093.0,0.0,80.82,1.41,0.0,
Khairagarh,State,173713.0,148208.0,2608.0,0.0,85.32,1.5,0.0,
Korea,State,126874.0,66911.0,3328.0,0.0,52.74,2.62,0.0,
Nandgaon,State,202973.0,159317.0,2834.0,0.0,78.49,1.4,0.0,
Patna State,State,622220.0,0.0,0.0,0.0,0.0,0.0,0.0,
Raigarh,State,312643.0,211385.0,2210.0,0.0,67.61,0.71,0.0,
Sakti,State,54517.0,40151.0,448.0,0.0,73.65,0.82,0.0,
Sarangarh,State,140785.0,139954.0,353.0,0.0,99.41,0.25,0.0,
Surguja,State,551752.0,133178.0,7826.0,0.0,24.14,1.42,0.0,
Udaipur,State,118331.0,32657.0,328.0,0.0,27.6,0.28,0.0,
Cochin,State,1422875.0,896260.0,109188.0,0.0,62.99,7.67,0.0,
Deccan and Kolhapur,State,2785428.0,2486030.0,182036.0,0.0,89.25,6.54,0.0,
Kolhapur,State,1092046.0,980674.0,49615.0,0.0,89.8,4.54,0.0,
Akalkot,State,103903.0,88170.0,15037.0,0.0,84.86,14.47,0.0,
Bhor,State,155961.0,147288.0,1917.0,0.0,94.44,1.23,0.0,
Aundh,State,88723.0,84261.0,4000.0,0.0,94.97,4.51,0.0,
Jamkhandi,State,126272.0,108798.0,14696.0,0.0,86.16,11.64,0.0,
Janjira,State,103557.0,83579.0,17096.0,0.0,80.71,16.51,0.0,
Jath,State,107036.0,99827.0,6847.0,0.0,93.26,6.4,0.0,
Kurundwad (Sr.),State,52552.0,43277.0,5390.0,0.0,82.35,10.26,0.0,
Kurundwad (Jr.),State,46609.0,38138.0,5361.0,0.0,81.83,11.5,0.0,
Mudhol,State,72447.0,66837.0,5453.0,0.0,92.26,7.53,0.0,
Miraj (Sr.),State,108547.0,89218.0,13055.0,0.0,82.19,12.03,0.0,
Miraj (Jr.),State,46295.0,42033.0,2858.0,0.0,90.79,6.17,0.0,
Phaltan,State,71473.0,68299.0,1909.0,0.0,95.56,2.67,0.0,
Ramdurg,State,40114.0,36571.0,3501.0,0.0,91.17,8.73,0.0,
Sangli,State,293381.0,255727.0,22105.0,0.0,87.17,7.53,0.0,
Wadi,State,2022.0,1928.0,54.0,0.0,95.35,2.67,0.0,
Savanur,State,22440.0,14544.0,7806.0,0.0,64.81,34.79,0.0,
Sawantwadi,State,252050.0,239839.0,5303.0,0.0,95.16,2.1,0.0,
Gujarat,State,1458702.0,762611.0,58000.0,0.0,52.28,3.98,0.0,
Jawhar,State,65126.0,14708.0,650.0,0.0,22.58,1.0,0.0,
Lunawada,State,105318.0,99460.0,5646.0,0.0,94.44,5.36,0.0,
Rajpipla,State,249032.0,62948.0,9279.0,0.0,25.28,3.73,0.0,
Balasinor,State,61151.0,54049.0,6110.0,0.0,88.39,9.99,0.0,
Baria,State,189062.0,110285.0,3123.0,0.0,58.33,1.65,0.0,
Bansda,State,54735.0,7485.0,1069.0,0.0,13.67,1.95,0.0,
Cambay,State,96592.0,79696.0,12304.0,0.0,82.51,12.74,0.0,
Chota Udepur,State,162177.0,118806.0,4366.0,0.0,73.26,2.69,0.0,
Dharampur,State,123326.0,23242.0,1666.0,0.0,18.85,1.35,0.0,
Sachin,State,26231.0,16749.0,3028.0,0.0,63.85,11.54,0.0,
Sant,State,94257.0,35887.0,2521.0,0.0,38.07,2.67,0.0,
Surgana,State,18292.0,16662.0,154.0,0.0,91.09,0.84,0.0,
Dangs,State,40498.0,10961.0,95.0,0.0,27.07,0.23,0.0,
Rest of Agency,State,172905.0,111620.0,7989.0,0.0,64.56,4.62,0.0,
Gwalior,State,4006159.0,3463310.0,240903.0,0.0,86.45,6.01,0.0,
Kashmir (including Feudatories),State,4021616.0,807549.0,3073540.0,0.0,20.08,76.43,0.0,
Kashmir,State,3945090.0,807475.0,2997113.0,0.0,20.47,75.97,0.0,
Pudukottai,State,438348.0,402078.0,16975.0,0.0,91.73,3.87,0.0,
Banganapalle,State,44592.0,32500.0,10543.0,0.0,72.88,23.64,0.0,
Sandur,State,15814.0,13024.0,2745.0,0.0,82.36,17.36,0.0,
Mysore,State,7329140.0,6686630.0,485230.0,0.0,91.23,6.62,0.0,
Orissa States,State,3023731.0,2140423.0,14355.0,0.0,70.79,0.47,0.0,
Athgarh,State,55498.0,47937.0,261.0,0.0,86.38,0.47,0.0,
Talcher,State,86432.0,0.0,0.0,0.0,0.0,0.0,0.0,
Nilgiri,State,73109.0,60240.0,54.0,0.0,82.4,0.07,0.0,
Keonjhar,State,529786.0,377062.0,1639.0,0.0,71.17,0.31,0.0,
Pal Lahara,State,34130.0,22874.0,18.0,0.0,67.02,0.05,0.0,
Athmallik,State,72765.0,58204.0,108.0,0.0,79.99,0.15,0.0,
